web_scraper_order,web_scraper_start_url,pagination,title,data,data2,data3,data4
"1776950156-1","https://almokhtabar.com/en/testspackages/","","CPK - Total","EGP 330","cardiac enzyme,  requested when feeling chest pain","330","Add to Cart"
"1776950156-2","https://almokhtabar.com/en/testspackages/","","Amylase","EGP 435","pancreatic enzyme, requested in cases of pancreatitis and acute abdominal pain","435","Add to Cart"
"1776950156-3","https://almokhtabar.com/en/testspackages/","","Lipase","EGP 490","pancreatic enzyme, requested in cases of pancreatitis and acute abdominal pain","490","Add to Cart"
"1776950156-4","https://almokhtabar.com/en/testspackages/","","Fasting Blood Glucose","EGP 165","requested in cases of routinel check up , diagnosis and follow up of diabetes","165","Add to Cart"
"1776950156-5","https://almokhtabar.com/en/testspackages/","","Blood Urea","EGP 180","one of the kidney function tests","180","Add to Cart"
"1776950156-6","https://almokhtabar.com/en/testspackages/","","Alk.phosphatase","EGP 220","one of the liver function tests. Normally elevated in childhood and adolescence","220","Add to Cart"
"1776950156-7","https://almokhtabar.com/en/testspackages/","","Bilirubin ( T&D )","EGP 345","one of the liver function tests,  it is requested in cases ofneonatal jaundice.","345","Add to Cart"
"1776950156-8","https://almokhtabar.com/en/testspackages/","","BUN","EGP 180","one of the kidney function tests","180","Add to Cart"
"1776950156-9","https://almokhtabar.com/en/testspackages/","","Calcium","EGP 260","it is  requested with vitamin D, part of routine check up specially in children or adults above 50 yrs., can be ordered for bone aches and renal patients","260","Add to Cart"
"1776950156-10","https://almokhtabar.com/en/testspackages/","","Chloride","EGP 260","one of the most important electrolytes, it is part of kidney function tests","260","Add to Cart"
"1776950156-11","https://almokhtabar.com/en/testspackages/","","Creatinine, serum","EGP 165","one of the kidney function tests","165","Add to Cart"
"1776950156-12","https://almokhtabar.com/en/testspackages/","","Gamma GT","EGP 245","one of the liver function tests, it is an indicator for liver obstruction","245","Add to Cart"
"1776950156-13","https://almokhtabar.com/en/testspackages/","","HDL-C","EGP 190","part of the lipid profile, the protective against heart dideases and atherosclerosis, requested in routine check up and diabetes","190","Add to Cart"
"1776950156-14","https://almokhtabar.com/en/testspackages/","","Phosphorous","EGP 250","requested with vitamin D, part of routine check up specially in children or adults above 50 yrs., can be ordered for bone aches and renal patients","250","Add to Cart"
"1776950156-15","https://almokhtabar.com/en/testspackages/","","K+","EGP 255","part of kidney function test, can be requested for hypertension and heart disease patients","255","Add to Cart"
"1776950156-16","https://almokhtabar.com/en/testspackages/","","SGOT (AST)","EGP 165","one of the liver function tests, can be used in diagnosis of some types of anaemia","165","Add to Cart"
"1776950156-17","https://almokhtabar.com/en/testspackages/","","SGPT (ALT)","EGP 165","one of the liver function tests","165","Add to Cart"
"1776950156-18","https://almokhtabar.com/en/testspackages/","","Na","EGP 255","one of the most important electrolytes, it is also a part of kidney function test and is also required for hypertension and heart disease patients","255","Add to Cart"
"1776950156-19","https://almokhtabar.com/en/testspackages/","","Triglyceride","EGP 235","Part of the lipid profile, requested in routine check up and for diabetitic patients","235","Add to Cart"
"1776950156-20","https://almokhtabar.com/en/testspackages/","","ASOT","EGP 435","diagnosis of streptococcus in cases of tonsilitis","435","Add to Cart"
"1776950156-21","https://almokhtabar.com/en/testspackages/","","Blood Grouping (ABO&Rh)","EGP 370","requested for  operations, pregnancy follow up, routine check up","370","Add to Cart"
"1776950156-22","https://almokhtabar.com/en/testspackages/","","Coomb's Test ""Direct""","EGP 460","diagnostic for some cases of haemolytic anaemia","460","Add to Cart"
"1776950156-23","https://almokhtabar.com/en/testspackages/","","HBsAg by Chemiluminescent technology","EGP 480","Diagnosis of HBV, requested for  operations, blood transfusion and for check up","480","Add to Cart"
"1776950156-24","https://almokhtabar.com/en/testspackages/","","HIV Antibody (AIDS Test)","EGP 760","Diagnosis of HIV, requested for operations, blood transfusion and for check up","760","Add to Cart"
"1776950156-25","https://almokhtabar.com/en/testspackages/","","Reticulocytic Count","EGP 210","diagnosis and follow up of  some cases of  anaemia","210","Add to Cart"
"1776950156-26","https://almokhtabar.com/en/testspackages/","","VDRL","EGP 625","diagnosis of  sexually transmitted diseases","625","Add to Cart"
"1776950156-27","https://almokhtabar.com/en/testspackages/","","Protein in 24 hrs Urine","EGP 290","diagnosis and follow up of renal condition, can be requested in case of diabetes follow up","290","Add to Cart"
"1776950156-28","https://almokhtabar.com/en/testspackages/","","Creatinine Clearance","EGP 495","diagnosis and follow up of renal condition, can be requested in case of diabetes follow up","495","Add to Cart"
"1776950156-29","https://almokhtabar.com/en/testspackages/","","CRP (Quantitative)","EGP 400","diagnosis of the bacterial infection, related to the severity of infection or inflammation","400","Add to Cart"
"1776950156-30","https://almokhtabar.com/en/testspackages/","","Vitamin B12 (Cyanocobalamin) Level in  serum","EGP 2115","requested in routine check up,  diabetic patient children and pregnent women","2115","Add to Cart"
"1776950156-31","https://almokhtabar.com/en/testspackages/","","Estradiol E2 in serum","EGP 475","used in cases of female infertility and IVF","475","Add to Cart"
"1776950156-32","https://almokhtabar.com/en/testspackages/","","Folic Acid Level in serum","EGP 1805","requested for routine check up, children, pregnant women and some cases of anaemia","1805","Add to Cart"
"1776950156-33","https://almokhtabar.com/en/testspackages/","","FSH(Follicle Stimulating Hormone) in serum","EGP 425","used in diagnosis of some cases of menstrual disturbances, female and male infertility","425","Add to Cart"
"1776950156-34","https://almokhtabar.com/en/testspackages/","","Free T3  in serum","EGP 385","one of thyroid function tests, required from patients suffering from weight disorder or heart arrhythmia","385","Add to Cart"
"1776950156-35","https://almokhtabar.com/en/testspackages/","","Free T4  in serum","EGP 385","one of thyroid function tests, required from patients suffering from weight disorder or heart arrhythmia","385","Add to Cart"
"1776950156-36","https://almokhtabar.com/en/testspackages/","","TSH in  serum","EGP 385","one of thyroid function tests, required from patients suffering from weight disorder or heart arrhythmia","385","Add to Cart"
"1776950156-37","https://almokhtabar.com/en/testspackages/","","Total HCG (Quantitative)","EGP 465","to determine the exact date of pregnancy, used for diagnosis of cancer testis in male","465","Add to Cart"
"1776950156-38","https://almokhtabar.com/en/testspackages/","","Homocysteine ""Serum""","EGP 1235","cardiac marker","1235","Add to Cart"
"1776950156-39","https://almokhtabar.com/en/testspackages/","","Insulin (Fasting)  in serum","EGP 495","diagnosis of  type 1 diabetes and insulin resistance","495","Add to Cart"
"1776950156-40","https://almokhtabar.com/en/testspackages/","","Insulin after 2 hours in serum","EGP 495","diagnosis of  type 1 diabetes and insulin resistance","495","Add to Cart"
"1776950156-41","https://almokhtabar.com/en/testspackages/","","LH(Luteinizing Hormone) in serum","EGP 465","diagnosis and follow up of male and female infertility","465","Add to Cart"
"1776950156-42","https://almokhtabar.com/en/testspackages/","","Progesterone in serum","EGP 460","diagnosis and follow up of male and female infertility","460","Add to Cart"
"1776950156-43","https://almokhtabar.com/en/testspackages/","","Prolactin in serum","EGP 420","diagnostic for pituitary gland dysfunctions","420","Add to Cart"
